agency_id,agency_name
5413,Brodbeck Bus Lines Pty Ltd
5034,Glen Innes Bus Services
5721,Gavne Enterprises Pty Ltd
5598,"Arandale, Daniel"
5601,Hopes Bus Service Pty Limited
5509,Glen Innes Bus Services
5306,Attunga Buslines Pty Ltd
5942,Forest Coach Lines
5563,GW & CA Hillier Pty Ltd
5010,Denman Buses
5742,Jamalon Pty Ltd
5032,Brejoel Pty Ltd
5036,GW & CA Hillier Pty Ltd
5008,Jenlai Pty Limited
5052,Paznic Pty Ltd
5960,Cavanagh Bus & Coach Pty Ltd
5041,Hancock Rural Pty Ltd
5113,Toomey Bus Transport Pty Ltd
5068,Duncans Bus Services Pty Ltd
5002,GordonPeak Pty Ltd
5285,Tony Frost Pty Ltd
5108,DKD Bus Services Pty Ltd
6100,Cavanagh Bus & Coach Pty Ltd
5070,AJ & CA Olive
5524,Spindlebox Buses
5720,Lister Johnson Pty Ltd
5286,The Oxley Explorer
5290,Howard's Bus & Charter
5361,Kingstown Bus Company Pty Ltd
6200,"MULCAHY, Peter James & Lorraine Mary"
43556,Barraba Bus Lines Pty Ltd
5039,Edwards Coaches Pty Limited
5532,A G & P L Beveridge
5014,Yallaroi Crop Spraying Pty Ltd
5298,HR & AM Roos
5287,Macphersons Tamworth
5389,Robphae Pty Ltd
5011,O'Neills Bus Service
5393,Compass Swift Pty Ltd
5015,Craginview Pty Ltd
5040,Emmapo Pty Ltd
5305,Edwards Coaches Pty Limited
5530,Moona Bus Pty Ltd
5110,R & N Bilsborough
5362,O'Dempseys Charters and Local Tours
5726,Roscrea Farm & Bus Pty Ltd
5037,GW & CA Hillier Pty Ltd
6121,Compass Swift Pty Ltd
5528,Macphersons Tamworth
5115,Forest Coach Lines
5408,P J & L M Mulcahy
5081,Farrugia Transportation Pty Ltd
5387,Cavanagh Bus & Coach Pty Ltd
5603,"Jillett, Michael"
5018,Yallaroi Crop Spraying Pty Ltd
5016,Rose Enterprises (NSW) Pty Ltd
5529,JND Ventures Pty Ltd
5521,Glenreagh Bus Services Pty Ltd
5388,Wahha Bloodstock Pty Ltd
5293,Holmes Bus Service
5033,Duncans Bus Services Pty Ltd
5112,Masons Services NSW Pty Ltd
5740,Yallaroi Crop Spraying Pty Ltd
5940,Hopes Bus Service Pty Limited
5109,Mark Cook
5760,Wytaliba Bus Service
5043,K.C.Galvin & Co Pty Ltd
5220,"Hill, Robert"
5368,GB & SL Howlett Pty Ltd
5415,LKD Investments Group Pty Ltd
5722,Cavanagh Bus & Coach Pty Ltd
5235,Currabubula Bus Service Pty Ltd
5084,Marla Bus Service Pty Ltd
5741,M J & K Holstein
5009,Berrigal Creek Bus
5222,Camrose Pty Ltd
5623,Berrigal Creek Bus
6081,Kisti Lee Hodge
5390,Glen Innes Bus Services
5531,Lister Johnson Pty Ltd
5956,Eggins Comfort Coaches
5223,Cowans Bus Service
5957,Tinonee Bus Company
5968,Forster Buslines
5970,Busways
5600,Cooma Coaches Pty Ltd
5944,Osborn's Buses
5785,Busways
5064,Rumbel Coaches
5727,Howard's Bus & Charter
5594,Eggins Comfort Coaches
5969,Wingham Buslines
5330,Sheltons Bus Service
5781,Wingham Buslines
6060,Howard's Bus & Charter
5333,Saxby's Singleton
5367,Gardner Buses
5074,RPS Buses
5069,Tinonee Bus Company
5949,Tinonee Bus Company
5078,Lyall Earthmoving Contractors Pty Ltd
8220,Sheltons Bus Service Pty Ltd
5066,Grace Coaches
5027,Denman Buses
5418,Baileys Bus Services
6067,McAtamney Buses
5224,Howard's Bus & Charter
5031,Gardner Buses
6068,Port Stephens Coaches
5283,Howard's Bus & Charter
5409,Cooma Coaches Pty Ltd
5029,Denman Transit Pty Ltd
5541,Newcombe Coach Lines
5967,Busways
5971,Busways
5966,Busways
5062,BNA Buses
5360,Baldwin's Bus Service
5365,Natureland Bus Service
5950,CTC Buses
5964,Forest Coach Lines
5784,Busways
5948,Forest Coach Lines
5044,Atwal Bus
5765,Sahdra Bus Lines
5782,Busways
5743,Sahdra Bus Lines
5585,BNA Buses
5783,Busways
5049,CTC Buses
5416,GW & CA Hillier Pty Ltd
5065,WG & JA Weick Bus Service
5584,Tablelands Bus Service
5230,Keough's Bus Service
5114,CTC Buses
5048,Lemitscom Pty Ltd
5055,BNA Buses
5660,Symons Bermagui Bus Service Pty Ltd
5448,RJ & KM Keefe
5861,Berrima Buslines
5462,Baileys Garage
6007,Berrima Buslines
6016,PBC Goulburn
5677,Roadcoach Goulburn
5791,Sapphire Coast Buslines
5125,Delcott Bus Service
5427,Merivale Buses Pty Ltd
5981,Bega Valley Coaches
5466,Laggan Bus Company
5708,McGraths Buses
5144,Lewis Buslines & Classic Motor Cruises Pty Ltd
5904,PBC Goulburn
5308,Taylors Buses
5170,MS Gradidge Pty Ltd
5122,Bush's Yass - Charter Service
5428,Intertrans
5171,McGraths Buses
5469,McGrath's Buses
5320,Lewis Buslines & Classic Motor Cruises Pty Ltd
5906,PBC Goulburn
5667,Poatherton Enterprises
5922,D & K Skelly Pty Ltd
5187,Ringbus Pty Ltd
5449,Taylorm8de Pty Ltd
5429,RICAM Industries Pty Ltd
5704,Wilson's Coachlines
5464,McGraths Buses
5128,Robertson Bus Service Pty Ltd
5465,Remmit and Sons
5680,Route 754 Pty Ltd
5679,McGrath's Buses
5492,Morton Views
5450,Taylorm8de Pty Ltd
5160,Bradclo Pty Ltd
5978,PBC Goulburn
5681,PBC Goulburn
5173,Cooma Coaches
5406,Beau n Co
5676,KT & WA Skelly Pty Ltd
5172,Medways Buses Pty Ltd
5241,Daanhage Investments Pty Ltd
6010,Picton Buslines
6008,Nowra Coaches
6011,Shoalbus
5975,Kennedy's Bus and Coach
5407,Nowra Coaches
6009,Kiama Coaches
5473,Gerringong Buses
5977,Ulladulla Buslines
5343,Kennedy's Bus And Coach
5424,Berry Bus Service
5864,Nowra Coaches
5145,Eastern Australia Coaches
6140,Kennedy's Bus and Coach
2450,Hunter Valley Buses
6014,Busabout Wagga
5446,Reid Bus services
5860,MIA Coaches
5646,MIA Coaches
5345,BBB Buses Pty Ltd
5803,Junee Buses
5261,Kelly Coaches
5240,Hillston Bus Services Pty Ltd
5442,Chandler's Buses Pty Ltd
5177,NB & AJ Rees Pty Ltd
5746,MJ Evans & RN Evans Pty Ltd
5689,C & J Robertson Pty Ltd
6002,Griffith Buslines
5674,Junee Buses
5441,Celis Bus Service
5194,Leiper and Co Pty Ltd
5788,C & J Robertson Pty Ltd
5481,Lyons Bus Service
5443,Alleena Bus Company Pty Ltd
5663,Ecclestons Buses Gundagai Pty Ltd
5490,Allen's Coaches
5349,Temora Buses
5246,Chostill Pty Ltd
5650,C & J Robertson Pty Ltd
5175,Brettschneider Bus Service Pty Ltd
5100,Dan Simmons Pty Ltd
5126,Ruralbus
5264,Tregear Buses Pty Ltd
5323,J & L.M Grange Pty Ltd
5140,Kellys Coaches
5440,Celis Bus Service
5444,Crompton's Bus Service
5174,Lotts Buses Pty Ltd
5310,San Isidore Buses
5482,Celis Bus Service
5647,Makeham's Coaches
5143,Reardon Bus Co Pty Ltd
5641,Temora Buses
5191,S A Hetherington Pty Ltd
5421,Poomah Buses Pty Ltd
5686,WR & MR Imrie Bus Services
5342,SRS Buses Pty Ltd
5199,Reid Buses
5700,Mahoney's Coaches Pty Ltd
5380,DR & MT Milne Pty Ltd
5162,Bandy Bus Service Pty Ltd
5137,J & M Davies Pty Ltd
5161,Yanco Bus Pty Ltd
5980,Allen's Coaches
5124,GD & DK Bock Pty Ltd
5180,SDB Services Group Pty Ltd
5523,Chamberlain's Buses
5383,Tregear Buses Pty Ltd
5501,Steeles Bus Pty Ltd
5445,Narrandera CRC
5664,Hibberson Buses Pty Ltd
5451,Windeira Pty Ltd
5643,DA & C HARPER
5324,Chamberlain's Buses
5487,DR & MT Milne Pty Ltd
5185,CLC & CO PTY LTD
5169,Mark and Rowena Sutton Pty Ltd
5666,Flanagan's Buses
5749,Flanagan's Buses
5502,Ian Ross Contracting Pty Ltd
5190,Whitepool Pty Ltd
5242,Andersons Buses Pty Ltd
5642,Bushtrack Bus Company Pty Ltd
5117,GD & DK Bock Pty Ltd
5192,Canns Bus Management Pty Ltd
5652,Chamberlain's Buses
5195,S L and S L Hardwick Pty Ltd
5865,Griffith Buslines
5649,Temora Buses
2454,Blue Mountains Transit
7028,Blue Mountains Transit
2455,Premier Charters
2456,Premier Illawarra
7030,Premier Illawarra
2457,Hunter Valley Buses
2458,Dions Bus Service
5506,Sinclair Buses
6006,Orange Buslines
5706,Apple City Tours
5227,Booths Bus Line Pty Ltd
5599,Ogdens Coaches
6005,Lithgow Buslines
5982,Cowra Bus Service
5790,Newman's Bus Service
5245,Sharon L Brown Pty Ltd
5204,Cooks Buses Orange
5147,Lovering Pty Ltd
5866,Lithgow Buslines
6066,Lithgow Buslines
5123,Mutton Buses
6004,Bathurst Buslines
5583,Ogdens Coaches
5959,Ogdens Coaches
5684,Newman's Bus Service
5522,Ogdens Coaches
5682,Cowra Bus Service
5386,Lithgow Buslines
5309,Riverside Bus Service Pty Ltd
5340,Tawilla Holdings Pty Ltd
5750,Orange Buslines
5658,Conroy's Bus Service
5311,Dowd Bros Buses Pty Ltd
5653,Wayne and Kath Holz Pty Ltd
5582,TF Palmer Holdings Pty Ltd
5023,Upstairs Buses Pty Ltd
5228,Sanja Holdings
5167,Tupelo Lodge Pty Ltd
6160,Apple City Tours
5135,Dowsett Bus Service Pty Ltd
5802,Garland Bus Committee Inc
5193,Orange Buslines
5129,G & J Cameron Cowra Pty Ltd
5104,"Campbell, Terrence"
5321,Cowra Bus Service
5412,Booths Bus Line Pty Ltd
5447,ESR Buses Pty Ltd
5302,J & B Buses
5955,Surfside Buslines
5963,Buslines Group Pty Limited
5972,Buslines Group Pty Limited
5392,CB Buses Pty Ltd
5946,Blanch's Bus Company
5106,Surfside Buslines
5540,Buslines Group Pty Limited
5591,Gosel's Bus Service
5947,Surfside Buslines
5231,Kyogle Busco
5073,Buslines Group Pty Limited
5071,Clark's Buslines Pty Ltd
5063,Bulzomi Bros Pty Ltd
5728,Buslines Group Pty Limited
5920,Kellam Bus Lines Pty Ltd
5766,Kellam Bus Lines Pty Ltd
6000,Kellam Bus Lines Pty Ltd
5536,Quinns Buses
5965,Buslines Group Pty Limited
5332,Surfside Buslines
5232,Yamba & Maclean Buses Pty Ltd
6101,Shazwilly Pty Ltd
5951,Surfside Buslines
5045,Bennetts Bus Service Pty Ltd
5562,Dunoon Bus Service
5539,Gosel's Bus Service
5952,Surfside Buslines
5627,G W Hughes Pty Ltd
5621,Sodhi Transport Pty Ltd
5588,Gosel's Bus Service
5303,G & N Bus Services Pty Ltd
5908,Simes Bros. Coaches
5538,J & B Buses
5046,Buslines Group Pty Limited
5761,Alstonville Bus Service
5590,CCC Bus Services
5051,Gosel's Bus Service
5597,Blanch's Bus Company
5294,Simes Bros. Coaches
5595,Wittig Investments Pty Ltd
5958,Gosel's Bus Service
5586,Meadow View Pastoral Company Pty Ltd
5954,Dunoon Bus Service
5366,Crisps Bus Lines Pty Ltd
6064,J & B Buses
5730,Bulzomi Bros Pty Ltd
5067,Bangalow Transit Pty Ltd
5059,A.J.Treanor Pty Ltd
5053,AK Quinn Pty Ltd
5281,Three Little Dudes Pty Ltd
5047,CB Buses Pty Ltd
5335,Quinns Buses
5292,Buslines Group Pty Limited
5953,Quinns Buses
5581,Koonorigan Bus Service
5417,Foscars Pty Ltd
6065,G W Hughes Pty Ltd
6161,Blanch's Bus Company
6069,Crisps Bus Lines Pty Ltd
5050,Cummins Pastoral Co. Pty Ltd
3000,Newcastle Transport
7016,Transit Systems
2459,Transit Systems
5381,Whitmore Bus Group (NSW) Pty Ltd
5974,Cann's Bus Management
5485,Kanes Buses
6012,Martins Albury
5655,Baldwin's Buses
5130,Goode's Coaches Pty Ltd
5685,Papworth's Bus Service Pty Ltd
5453,Dysons Buslines
6040,Dysons Buslines
5484,O'Connell's Coaches
5703,Cann's Bus Management
5662,Martins Albury
5142,Lieschke Buslines
5205,Woods Bus Lines
5452,Dysons Buslines
5243,Havercroft Buslines Pty Ltd
5520,Martins Albury
5472,Dysons Buslines
5139,Cann's Bus Management
5900,Dysons Buslines
5455,Lieschke Buslines
5840,James Newtons Bus Service Pty Ltd
5188,Waverley Bus Pty Ltd
5800,BusBiz
5179,Martins Albury
5665,Martins Albury
5661,Apple Transport Services Pty Ltd
5119,Diesel Downs Nominees Pty Ltd
5131,Canns Bus Management Pty Ltd
5705,Lake Brothers
5262,Dysons Buslines
5166,Bookabus
5244,Worrick John Shaw Pty Ltd
5263,Martins Albury
5456,Lieschke Buslines
5801,Shea Buses Pty Ltd
5901,Dysons Buslines
5656,WB & AK Davies Pty Ltd
5486,Fallon's Bus Service Pty Ltd
5403,N and K Lieschke Pty Ltd
5346,Bunson Pty Ltd
5136,Hassett Buses Pty Ltd
5118,Hassett Buses Pty Ltd
5189,Lieschke Buslines
711,NSW TrainLink
X000,Intercity Train
6015,Qcity Transit
5146,Loaders Coaches
5903,Qcity Transit
5201,"White, Michelle"
5400,Symons Bus & Coach Service
5488,Marshall's Bus & Coach Company Pty Ltd
5102,Bennys Buses
5148,Adaminaby Buses
5426,Cooma Coaches
5463,Braidwood Buses
5748,Cooma Coaches
5973,Priors Bus Service
5675,Alpine Charters
6062,Snowliner Coaches
5470,Myula Pty Ltd
5348,V & H Motor Repairs
5182,Loaders Coaches
5326,Demadrick Pty Ltd
5134,C.D Pitt & S.M Treacy-Pitt Pty Ltd
5325,Symons Bus & Coach Service
5493,Cooma Coaches
5491,Alpine Charters
5751,Busabout Wagga
5678,Snowliner Coaches
5483,Neirbo Investments Pty Ltd
5327,Bombala Bus Services Pty Ltd
5404,Keirs Bus Service Pty Ltd
5475,Bungendore Bus & Coach
5687,Cartys Bus Co Pty Ltd
5458,Bombala Bus Services Pty Ltd
5260,Emerton Enterprises Pty Ltd
5648,MI & WJ Horsburgh
5344,Nerriga Rd Bus Company Pty Ltd
5138,Loaders Coaches
5651,Keir's Bus Service Pty Ltd
5457,Isabel Harrington
5206,Young Hills
5347,Qcity Transit
5560,P & M Levett Pty Ltd
5186,S.K.Radburn
5181,Keir's Bus Service Pty Ltd
5401,Norm Talbot Pty Ltd
5867,Priors Bus Service
5459,Nimael
5127,Braidwood Buses Pty Ltd
5467,Fairview Buses Pty Ltd
NT,Newcastle Transport
PLR,Parramatta Light Rail
SLR,Sydney Light Rail
LR,Sydney Light Rail
6001,Cavanagh Bus & Coach Pty Ltd
5535,I R Steinhardt Pty Ltd
5284,Nambucca Bus Service
5296,Glenreagh Bus Services Pty Ltd
5513,Kindee Bus Service
5054,Cedar Log Trading PTY Ltd
5299,Long Flat Bus Service Pty Ltd
5620,Collins Bus Service
5780,Cavanagh Bus & Coach Pty Ltd
5580,AVN Co Pty Ltd
5056,AK Quinn Pty Ltd
5537,PA & TJ Beaumont Pty Ltd
5060,Canco Droughtmasters Pty Ltd
5057,Cavanagh Bus & Coach Pty Ltd
5517,I R Steinhardt Pty Ltd
SF,Sydney Ferries
700015,Punchbowl Bus Company
700003,CDC Charter
700011,North Sydney Bus Charter
700002,Brighton Coach
700012,Nowra Coaches
